"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27367661",0.674218463189629,5.10394527368588,8.22456154852759,2.13358134222858e-07,1.27854460883923e-05,7.22728108068673
"27368057",0.783409993844595,4.36340116405601,8.16282220742335,2.37064389773167e-07,1.38926704889128e-05,7.21985394652405
"27370536",-0.544233840936736,7.22295517808382,-8.2673066201237,1.98405261293131e-07,1.22580614922965e-05,7.18547571500469
"27369915",-1.23640862747267,7.78217615894148,-8.23443468043871,2.09802910036808e-07,1.26676454014648e-05,7.17239362408327
"27364606",-0.437255015525547,4.8325981303569,-8.16343239899187,2.36817096270769e-07,1.38926704889128e-05,7.14303418813231
"27371389",0.737812828805947,3.03447691342344,8.07060612523637,2.77719448844458e-07,1.59239137215132e-05,7.11518582672568
"27370198",-2.25956023983139,5.70769155386156,-8.08496654904905,2.70938331265978e-07,1.56476702912308e-05,6.97722818240234
"27367819",1.32892134636318,1.56396784302436,8.13286622935258,2.49542266214879e-07,1.45171668739605e-05,6.95587068113533
"27367113",-1.12252288441425,13.336990931964,-7.95261108081407,3.40610573114795e-07,1.85936045734583e-05,6.91594272837896
"27370253",0.857323948606785,4.2857234358126,7.98476836841768,3.22121731175932e-07,1.77055875687736e-05,6.91158130377638
"27366339",-1.08944818540841,5.01200355437083,-8.01830704293505,3.0395049589021e-07,1.68228156405901e-05,6.86910973696438
"27365907",-0.48509269499239,5.93472552170719,-8.02549260526315,3.0019841163026e-07,1.67952431186813e-05,6.77409770798333
"27367982",0.423442178711418,6.0916053595777,8.02328686583938,3.01345014550995e-07,1.67952431186813e-05,6.75623875259692
"27367994",-0.236411754727414,6.99963166137865,-8.03922665272491,2.93160742304073e-07,1.66411429904466e-05,6.73872885388207
"27372050",0.586139092025983,3.97528229774617,7.83450990587799,4.1857928604671e-07,2.22405127319485e-05,6.67280085321258
"27365345",0.370467401806865,7.43785912463443,7.93301249662557,3.52418696723162e-07,1.91073266182558e-05,6.55739306394322
"27370725",0.582004798529442,4.84702127910683,7.81582127689551,4.32529970330711e-07,2.28295620101706e-05,6.53386468140719
"27368281",-1.67185481534782,1.41995144968032,-7.75816111584186,4.78709359149563e-07,2.46569364826143e-05,6.49316039446145
